timestamp,metric_type,trigger_event,folder,duration_ms,completeness_pct,accuracy_pct,memory_mb,cpu_load,additional_data
2025-04-22T00:01:51.825Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,47.74,0,""
2025-04-22T00:01:52.825Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,47.78,0,""
2025-04-22T00:01:53.831Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,47.82,0,""
2025-04-22T00:01:54.841Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,47.86,0,""
2025-04-22T00:01:55.847Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,47.9,0,""
2025-04-22T00:01:55.854Z,"sbom_generation","package.json_changed","sbom-testapp-1",15126.37,,,0.29,0,""
2025-04-22T00:01:55.886Z,"sbom_completeness","package.json_changed","sbom-testapp-1",,100,,,,""
2025-04-22T00:01:55.906Z,"vulnerability_accuracy","package.json_changed","sbom-testapp-1",,,0,,,""
2025-04-22T00:01:55.910Z,"sbom_timeliness","package.json_changed","sbom-testapp-1",15187.12,,,,,""
2025-04-22T00:01:55.917Z,"responsiveness","package.json_changed","sbom-testapp-1",15231,,,,,""
2025-04-22T00:01:59.953Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,41.21,0,""
2025-04-22T00:02:00.973Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,41.25,0,""
2025-04-22T00:02:01.984Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,41.29,0,""
2025-04-22T00:02:02.544Z,"vulnerability_scan","sbom_file_change","sbom-testapp-1",2934.32,,,,,""
2025-04-22T00:02:36.108Z,"sbom_request","manual_command","sbom-testapp-1",,,,,,""
2025-04-22T00:02:41.262Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,41.58,0,""
2025-04-22T00:02:42.275Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,41.62,0,""
2025-04-22T00:02:44.742Z,"sbom_generation","manual_command","sbom-testapp-1",8628.86,,,,,""
2025-04-22T00:02:48.821Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,41.89,0,""
2025-04-22T00:02:49.833Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,42.04,0,""
2025-04-22T00:02:50.833Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,42.08,0,""
2025-04-22T00:02:51.147Z,"vulnerability_scan","sbom_file_change","sbom-testapp-1",2751.23,,,,,""
2025-04-22T00:03:57.416Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,42.43,0,""
2025-04-22T00:03:58.417Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,42.51,0,""
2025-04-22T00:03:59.429Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,42.55,0,""
2025-04-22T00:04:00.442Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,42.59,0,""
2025-04-22T00:04:01.459Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,42.78,0,""
2025-04-22T00:04:01.752Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,42.11,0,""
2025-04-22T00:04:02.472Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,42.14,0,""
2025-04-22T00:04:02.763Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,42.18,0,""
2025-04-22T00:04:03.486Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,42.22,0,""
2025-04-22T00:04:04.493Z,"resource_usage","package.json_changed_pre_generation","sbom-testapp-1",,,,42.3,0,""
2025-04-22T00:04:05.322Z,"sbom_generation","package.json_changed","sbom-testapp-1",8905.33,,,,0,""
2025-04-22T00:04:05.343Z,"sbom_completeness","package.json_changed","sbom-testapp-1",,100,,,,""
2025-04-22T00:04:05.358Z,"vulnerability_accuracy","package.json_changed","sbom-testapp-1",,,0,,,""
2025-04-22T00:04:05.362Z,"sbom_timeliness","package.json_changed","sbom-testapp-1",8945.61,,,,,""
2025-04-22T00:04:05.366Z,"responsiveness","package.json_changed","sbom-testapp-1",8969.73,,,,,""
2025-04-22T00:04:09.387Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.32,0,""
2025-04-22T00:04:10.400Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.06,0,""
2025-04-22T00:04:11.401Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.11,0,""
2025-04-22T00:04:11.811Z,"vulnerability_scan","sbom_file_change","sbom-testapp-1",2775.43,,,,,""
2025-04-22T00:05:58.655Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-22T00:05:58.665Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":3,"medium":2,"low":0,"total":5}"
2025-04-23T20:25:56.118Z,"extension","activation","sbom-testapp-1",,,,,,""
2025-04-23T20:46:53.305Z,"extension","activation","sbom-testapp-1",,,,,,""
2025-04-23T20:47:00.352Z,"sbom_request","manual_command","sbom-testapp-1",,,,,,""
2025-04-23T20:47:07.294Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.63,0,""
2025-04-23T20:47:08.308Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,47.41,0,""
2025-04-23T20:47:09.319Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,47.45,0,""
2025-04-23T20:47:10.322Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,47.5,0,""
2025-04-23T20:47:11.324Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,47.54,0,""
2025-04-23T20:47:12.331Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,47.58,0,""
2025-04-23T20:47:13.336Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.39,0,""
2025-04-23T20:47:14.351Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.43,0,""
2025-04-23T20:47:15.358Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.49,0,""
2025-04-23T20:47:16.371Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.53,0,""
2025-04-23T20:47:17.386Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.57,0,""
2025-04-23T20:47:18.387Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46,0,""
2025-04-23T20:47:18.554Z,"sbom_generation","manual_command","sbom-testapp-1",18194.19,,,,,""
2025-04-23T20:47:19.388Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.81,0,""
2025-04-23T20:47:20.389Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.85,0,""
2025-04-23T20:47:21.388Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.89,0,""
2025-04-23T20:47:22.403Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.95,0,""
2025-04-23T20:47:23.420Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.99,0,""
2025-04-23T20:47:24.435Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46,0,""
2025-04-23T20:47:25.452Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.04,0,""
2025-04-23T20:47:26.469Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.08,0,""
2025-04-23T20:47:27.477Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.13,0,""
2025-04-23T20:47:28.485Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.17,0,""
2025-04-23T20:47:29.498Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.19,0,""
2025-04-23T20:47:30.501Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.24,0,""
2025-04-23T20:47:31.514Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.28,0,""
2025-04-23T20:47:32.519Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.31,0,""
2025-04-23T20:47:33.530Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.63,0,""
2025-04-23T20:47:34.531Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.37,0,""
2025-04-23T20:47:35.549Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.41,0,""
2025-04-23T20:47:36.548Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.73,0,""
2025-04-23T20:47:37.564Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.77,0,""
2025-04-23T20:47:38.580Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,45.81,0,""
2025-04-23T20:47:39.581Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,46.09,0,""
2025-04-23T20:47:40.593Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.07,0,""
2025-04-23T20:47:41.597Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.29,0,""
2025-04-23T20:47:42.602Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.43,0,""
2025-04-23T20:47:43.612Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.58,0,""
2025-04-23T20:47:44.624Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.62,0,""
2025-04-23T20:47:45.627Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.83,0,""
2025-04-23T20:47:46.628Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.96,0,""
2025-04-23T20:47:47.641Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.36,0,""
2025-04-23T20:47:48.644Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.48,0,""
2025-04-23T20:47:49.647Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.83,0,""
2025-04-23T20:47:50.659Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.69,0,""
2025-04-23T20:47:51.677Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.81,0,""
2025-04-23T20:47:52.689Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.94,0,""
2025-04-23T20:47:53.693Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.43,0,""
2025-04-23T20:47:54.705Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.54,0,""
2025-04-23T20:48:07.998Z,"sbom_request","manual_command","sbom-testapp-1",,,,,,""
2025-04-23T20:48:13.528Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,41,0,""
2025-04-23T20:48:17.537Z,"sbom_generation","manual_command","sbom-testapp-1",9535.71,,,,,""
2025-04-23T20:48:21.600Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.83,0,""
2025-04-23T20:48:22.611Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,40.94,0,""
2025-04-23T20:48:23.361Z,"vulnerability_scan","sbom_file_change","sbom-testapp-1",1997.62,,,,,""
2025-04-23T20:48:56.582Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-23T20:48:56.586Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":5,"medium":3,"low":0,"total":8}"
2025-04-23T23:41:24.931Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-23T23:41:24.938Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":5,"medium":3,"low":0,"total":8}"
2025-04-23T23:46:50.099Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,102.69,0,""
2025-04-23T23:46:51.107Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,102.74,0,""
2025-04-23T23:46:52.112Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,102.82,0,""
2025-04-23T23:46:53.119Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,103.51,0,""
2025-04-23T23:46:54.120Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,103.55,0,""
2025-04-23T23:46:55.131Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,104.2,0,""
2025-04-23T23:46:55.902Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,104.36,0,""
2025-04-23T23:46:56.133Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,104.4,0,""
2025-04-23T23:46:56.902Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,104.46,0,""
2025-04-23T23:46:57.133Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,104.5,0,""
2025-04-23T23:46:57.917Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,104.55,0,""
2025-04-23T23:46:58.147Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,104.59,0,""
2025-04-23T23:46:58.918Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,102.37,0,""
2025-04-23T23:46:59.148Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,102.41,0,""
2025-04-23T23:47:00.159Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,102.5,0,""
2025-04-23T23:47:01.166Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,102.55,0,""
2025-04-23T23:47:02.178Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,102.59,0,""
2025-04-23T23:47:02.290Z,"sbom_generation","package-lock.json_changed","sbom-testapp-1",13193.94,,,0.01,0,""
2025-04-23T23:47:02.321Z,"sbom_completeness","package-lock.json_changed","sbom-testapp-1",,100,,,,""
2025-04-23T23:47:02.341Z,"vulnerability_accuracy","package-lock.json_changed","sbom-testapp-1",,,0,,,""
2025-04-23T23:47:02.348Z,"sbom_timeliness","package-lock.json_changed","sbom-testapp-1",13256.81,,,,,""
2025-04-23T23:47:02.359Z,"responsiveness","package-lock.json_changed","sbom-testapp-1",13340.21,,,,,""
2025-04-23T23:47:06.526Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,94.37,0,""
2025-04-23T23:47:07.541Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,94.41,0,""
2025-04-23T23:47:07.741Z,"vulnerability_scan","sbom_file_change","sbom-testapp-1",1688.13,,,,,""
2025-04-23T23:48:00.695Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-23T23:48:00.711Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":3,"medium":2,"low":0,"total":5}"
2025-04-23T23:51:03.884Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-23T23:51:03.889Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":3,"medium":2,"low":0,"total":5}"
2025-04-23T23:51:52.227Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,95.57,0,""
2025-04-23T23:51:53.243Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,95.61,0,""
2025-04-23T23:51:54.256Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,95.74,0,""
2025-04-23T23:51:55.273Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,95.78,0,""
2025-04-23T23:51:56.273Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,95.83,0,""
2025-04-23T23:51:57.273Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,96.02,0,""
2025-04-23T23:51:57.471Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,96.06,0,""
2025-04-23T23:51:58.288Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,96.11,0,""
2025-04-23T23:51:58.471Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,96.15,0,""
2025-04-23T23:51:59.290Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,96.28,0,""
2025-04-23T23:52:00.292Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,96.34,0,""
2025-04-23T23:52:01.133Z,"sbom_generation","package-lock.json_changed","sbom-testapp-1",9912.52,,,,0,""
2025-04-23T23:52:01.156Z,"sbom_completeness","package-lock.json_changed","sbom-testapp-1",,100,,,,""
2025-04-23T23:52:01.168Z,"vulnerability_accuracy","package-lock.json_changed","sbom-testapp-1",,,0,,,""
2025-04-23T23:52:01.172Z,"sbom_timeliness","package-lock.json_changed","sbom-testapp-1",9951.77,,,,,""
2025-04-23T23:52:01.175Z,"responsiveness","package-lock.json_changed","sbom-testapp-1",9987.38,,,,,""
2025-04-23T23:52:05.190Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,102.46,0,""
2025-04-23T23:52:06.204Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,102.5,0,""
2025-04-23T23:52:06.768Z,"vulnerability_scan","sbom_file_change","sbom-testapp-1",1866.61,,,,,""
2025-04-23T23:52:15.690Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-23T23:52:15.707Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":1,"medium":1,"low":0,"total":2}"
2025-04-23T23:53:37.525Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-23T23:53:37.532Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":1,"medium":1,"low":0,"total":2}"
2025-04-23T23:53:59.053Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,99.04,0,""
2025-04-23T23:54:00.072Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,99.12,0,""
2025-04-23T23:54:01.082Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,99.16,0,""
2025-04-23T23:54:02.083Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,99.21,0,""
2025-04-23T23:54:03.087Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,98.77,0,""
2025-04-23T23:54:03.284Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,99.01,0,""
2025-04-23T23:54:04.099Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,98.85,0,""
2025-04-23T23:54:04.299Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,98.88,0,""
2025-04-23T23:54:05.101Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,98.93,0,""
2025-04-23T23:54:06.115Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,99.05,0,""
2025-04-23T23:54:07.116Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,99.09,0,""
2025-04-23T23:54:07.270Z,"sbom_generation","package-lock.json_changed","sbom-testapp-1",9221.64,,,0.16,0,""
2025-04-23T23:54:07.293Z,"sbom_completeness","package-lock.json_changed","sbom-testapp-1",,100,,,,""
2025-04-23T23:54:07.308Z,"vulnerability_accuracy","package-lock.json_changed","sbom-testapp-1",,,0,,,""
2025-04-23T23:54:07.312Z,"sbom_timeliness","package-lock.json_changed","sbom-testapp-1",9264.26,,,,,""
2025-04-23T23:54:07.316Z,"responsiveness","package-lock.json_changed","sbom-testapp-1",9288.43,,,,,""
2025-04-23T23:54:11.514Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,94.66,0,""
2025-04-23T23:54:12.529Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,94.71,0,""
2025-04-23T23:54:12.768Z,"vulnerability_scan","sbom_file_change","sbom-testapp-1",1629.66,,,,,""
2025-04-23T23:54:20.740Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-23T23:54:20.760Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":2,"medium":1,"low":0,"total":3}"
2025-04-23T23:57:20.971Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,100.49,0,""
2025-04-23T23:57:21.985Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,100.57,0,""
2025-04-23T23:57:23.002Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,100.62,0,""
2025-04-23T23:57:24.016Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,100.66,0,""
2025-04-23T23:57:25.018Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,99.57,0,""
2025-04-23T23:57:25.957Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,99.73,0,""
2025-04-23T23:57:26.032Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,99.75,0,""
2025-04-23T23:57:26.959Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,99.82,0,""
2025-04-23T23:57:27.033Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,99.83,0,""
2025-04-23T23:57:28.045Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,99.94,0,""
2025-04-23T23:57:29.049Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,99.98,0,""
2025-04-23T23:57:29.623Z,"sbom_generation","package-lock.json_changed","sbom-testapp-1",9655.92,,,,0,""
2025-04-23T23:57:29.646Z,"sbom_completeness","package-lock.json_changed","sbom-testapp-1",,100,,,,""
2025-04-23T23:57:29.660Z,"vulnerability_accuracy","package-lock.json_changed","sbom-testapp-1",,,0,,,""
2025-04-23T23:57:29.664Z,"sbom_timeliness","package-lock.json_changed","sbom-testapp-1",9697.91,,,,,""
2025-04-23T23:57:29.669Z,"responsiveness","package-lock.json_changed","sbom-testapp-1",9748.19,,,,,""
2025-04-23T23:57:33.688Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,106.32,0,""
2025-04-23T23:57:34.701Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,106.39,0,""
2025-04-23T23:57:35.030Z,"vulnerability_scan","sbom_file_change","sbom-testapp-1",1664.68,,,,,""
2025-04-23T23:57:43.237Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-23T23:57:43.252Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":1,"medium":1,"low":0,"total":2}"
2025-04-24T00:05:02.772Z,"dashboard_view","manual_command","dashboard",,,,,,""
2025-04-24T00:05:02.777Z,"vulnerability_summary","dashboard_view","all_reports",,,,,,"{"critical":0,"high":1,"medium":1,"low":0,"total":2}"
2025-04-24T00:06:01.592Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.32,0,""
2025-04-24T00:06:02.619Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.37,0,""
2025-04-24T00:06:03.619Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.45,0,""
2025-04-24T00:06:04.619Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.5,0,""
2025-04-24T00:06:05.620Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.54,0,""
2025-04-24T00:06:06.623Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.72,0,""
2025-04-24T00:06:06.837Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,94.76,0,""
2025-04-24T00:06:07.636Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.81,0,""
2025-04-24T00:06:07.851Z,"resource_usage","sbom_file_change","sbom-testapp-1",,,,94.85,0,""
2025-04-24T00:06:08.651Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.89,0,""
2025-04-24T00:06:09.655Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.99,0,""
2025-04-24T00:06:10.664Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,95.03,0,""
2025-04-24T00:06:11.677Z,"resource_usage","package-lock.json_changed_pre_generation","sbom-testapp-1",,,,94.38,0,""
2025-04-24T00:06:12.395Z,"sbom_generation","package-lock.json_changed","sbom-testapp-1",11806.34,,,,0,""
2025-04-24T00:06:12.427Z,"sbom_completeness","package-lock.json_changed","sbom-testapp-1",,100,,,,""
2025-04-24T00:06:12.443Z,"vulnerability_accuracy","package-lock.json_changed","sbom-testapp-1",,,0,,,""
2025-04-24T00:06:12.448Z,"sbom_timeliness","package-lock.json_changed","sbom-testapp-1",11860.26,,,,,""
2025-04-24T00:06:12.453Z,"responsiveness","package-lock.json_changed","sbom-testapp-1",11902.71,,,,,""
